model,dataset,method,n,local_em_pct,local_f1_pct,judge_acc_pct,avg_calls,source,notes
Qwen2.5-14B,HotpotQA,CoT,500,66.6,72.34,76.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,Self-Consistency,500,71.4,76.14,80.2,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,Consensus,500,68.0,74.61,79.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,MAD,500,68.2,74.71,79.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,dMAD,500,64.4,68.87,72.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,CDSD-Soft,500,70.8,75.87,81.2,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,CDSD-JudgeFix,500,73.6,75.08,81.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,CDSD-Granularity+Type,500,71.2,73.45,80.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,HotpotQA,Tree-CDSD v6.2 / Tri-Projection Debate Tree,500,72.8,75.26,82.2,28.76,results/ldt/v62/hotpotqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl,selected strong tree full500
Qwen2.5-14B,HotpotQA,LDTD v23 / Adaptive Role-Edge Debate Tree,500,69.0,73.79,77.8,31.52,results/ldt/v23/hotpotqa_ldtd_v23_granularity_guard_q25_14b_full500.jsonl,"latest full500, only datasets completed in this run"
Qwen2.5-14B,2WikiMultiHopQA,CoT,500,78.2,73.81,78.2,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,Self-Consistency,500,79.4,75.36,79.2,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,Consensus,500,78.4,74.79,78.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,MAD,500,76.6,73.33,77.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,dMAD,500,71.8,67.59,70.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,CDSD-Soft,500,82.2,76.82,81.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,CDSD-JudgeFix,500,82.6,75.45,81.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,CDSD-Granularity+Type,500,81.2,74.27,80.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,2WikiMultiHopQA,Tree-CDSD v6.2 / Tri-Projection Debate Tree,500,83.2,76.05,81.8,25.69,results/ldt/v62/2wikimultihopqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl,selected strong tree full500
Qwen2.5-14B,2WikiMultiHopQA,LDTD v23 / Adaptive Role-Edge Debate Tree,500,73.6,70.84,73.2,41.4,results/ldt/v23/2wikimultihop_ldtd_v23_granularity_guard_q25_14b_full500.jsonl,"latest full500, only datasets completed in this run"
Qwen2.5-14B,MuSiQue,CoT,500,55.6,56.78,54.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
